108 babel ['congratulations']
124 babel ['yay']
224 babel ['cool']
259 cbor ['thankyou']
94 cellar ['perfect']
148 detnet ['congratulations']
93 emailcore ['sorry']
420 gendispatch ['apologies']
556 gendispatch ['thanks']
614 gendispatch ['agreed']
137 idr ['great']
6 jose ['enjoy']
62 lisp ['agreed']
120 mpls ['thanx']
261 roll ['excellent']
2 sidrops ['perfect']
160 spring ['congratulations']
351 teas ['excellent']
16 6lo ['no', 'worries']
42 ace ['great', 'thanks']
99 babel ['perfect', 'thanks']
225 babel ['yeah', 'congrats']
282 babel ['right', 'thanks']
90 bess ['i', 'support']
260 bess ['appreciate', 'it']
759 bess ['ok', 'thanks']
1049 bess ['i', 'support']
1053 bess ['i', 'support']
34 cdni ['looks', 'good']
10 dance ['excellent', 'news']
623 dmarc ['i', 'agree']
25 ecrit ['great', 'thanks']
251 emailcore ['good', 'disambiguation']
299 gendispatch ['well', 'said']
441 idr ['no', 'objection']
77 lsr ['support', 'adoption']
329 lsr ['sounds', 'good']
78 masque ['i', 'support']
335 mpls ['i', 'agree']
627 netmod ['yes', 'fixed']
634 netmod ['thanks', 'accepted']
9 ntp ['i', 'agree']
376 ntp ['well', 'said']
517 ntp ['i', 'agree']
519 ntp ['i', 'agree']
16 nvo3 ['understood', 'agreed']
16 mmusic ['looks', 'correct', 'to', 'me']
125 mops ['i', 'support', 'this', 'document']
173 mpls ['i', 'support', 'wg', 'adoption']
234 mpls ['thank', 'you', 'i', 'approve']
379 mpls ['i', 'also', 'support', 'publication']
9 netconf ['cross', 'posting', 'to', 'netconf']
241 netconf ['i', 'support', 'wg', 'adoption']
19 netmod ['ah', 'okay', 'agreed', 'k']
687 ntp ['thanks', 'for', 'your', 'review']
693 ntp ['yes', 'good', 'point', 'thanks']
50 nvo3 ['i', 'support', 'wg', 'adoption']
51 nvo3 ['i', 'support', 'the', 'publication']
44 oauth ['which', 'new', 'browser', 'measures']
216 oauth ['in', 'support', 'for', 'adoption']
483 oauth ['documents', 'the', 'nimbus', 'implementation']
496 oauth ['i', 'support', 'dpop', 'publication']
558 oauth ['ah', 'in', 'security', 'considerations']
572 oauth ['we', 'have', 'implemented', 'it']
866 oauth ['i', 'also', 'support', 'publication']
980 oauth ['looks', 'good', 'to', 'me']
128 opsawg ['sounds', 'reasonable', 'to', 'me']
911 opsawg ['support', 'adoption', 'as', 'coauthor']
967 opsawg ['i', 'support', 'the', 'adoptio
178 pce ['i', 'support', 'this', 'draft']
250 pce ['support', 'as', 'a', 'coauthor']
379 pce ['i', 'support', 'wg', 'adoption']
418 pce ['i', 'support', 'wg', 'adoption']
446 pce ['much', 'better', 'thank', 'you']
68 pim ['i', 'support', 'the', 'adoption']
88 pim ['support', 'as', 'a', 'coauthor']
309 quic ['i', 'support', 'this', 'resolution']
528 quic ['thanks', 'for', 'the', 'review']
529 quic ['thanks', 'for', 'the', 'review']
584 quic ['that', 'can', 'be', 'excised']
15 quic ['i', 'support', 'this', 'plan']
1050 quic ['damn', 'it', 'wrong', 'http']
415 rats ['who', 'produced', 'that', 'nonce']
757 rats ['you', 'are', 'kidding', 'right']
882 rats ['good', 'point', 'i', 'agree']
914 rats ['i', 'support', 'this', 'work']
104 regext ['your', 'suspicion', 'is', 'confirmed']
108 rtcweb ['it', 'was', 'an', 'omission']
267 rtgwg ['looks', 'good', 'to', 'me']
131 sidrops ['thanks', 'for', 'the', 'link']
723 sidrops ['works', 'for', 'me', 'thanks']
49 spring ['that', 'sounds', 'great', 'thanks']
779 spring ['which', 'requirement', 'was', 'that']
875 spring ['support', 'as', 'a', 'coauthor']
949 spring ['i', 'support', 'the', 'adoption']
950 spring ['i', 'support', 'the', 'adoption']
954 spring ['i', 'support', 'the', 'adoption']
958 spring ['support', 'for', 'wg', 'adoption']
959 spring ['i', 'support', 'the', 'adoption']
961 spring ['i', 'support', 'this', 'adoption']
962 spring ['i', 'support', 'the', 'adoption']
1007 spring ['i', 'support', 'as', 'coauthor']
1049 spring ['i', 'support', 'wg', 'adoption']
84 stir ['looks', 'good', 'to', 'me']
367 tcpm ['confirmed', 'from', 'my', 'end']
369 tcpm ['yes', 'confirmed', 'for', 'me']
629 tcpm ['that', 'seems', 'to', 'work']
303 teas ['i', 'support', 'wg', 'adoption']
733 teas ['ok', 'got', 'your', 'point']
828 tsvwg ['this', 'information', 'is', 'appreciated']
986 tsvwg ['sounds', 'good', 'to', 'me']
